well_id,field_label,campaign_year,x,y,screen_elev_m,head_m,head_minus_screen,elevation_srtm_m,landcover_code,landcover_class,clay_pct,sand_pct,silt_pct,texture_class,P_year_of_survey_mm,P_cumul_1yr_mm,P_anomaly_1yr_pct,P_cumul_3yr_mm,P_anomaly_3yr_pct,P_cumul_5yr_mm,P_anomaly_5yr_pct,depth_to_water_approx_m,is_cropland,qc_flag_head_below_screen
HYN-1981-026,P29,1981,649166.071,3875347.326,293.8573315,295.08,1.2226684999999975,302.0,40,Cropland,26.6,39.6,33.8,Loamy,,0.0,,0.0,,0.0,,6.920000000000016,1,0
HYN-1981-027,P30,1981,649101.3128,3875593.943,290.8775668,294.5,3.622433199999989,301.0,40,Cropland,26.9,39.7,33.4,Loamy,,0.0,,0.0,,0.0,,6.5,1,0
HYN-1981-028,P31,1981,650431.2743,3875973.558,274.8185918,279.0,4.181408200000021,292.0,50,Built-up,27.9,40.3,31.9,Loamy,,0.0,,0.0,,0.0,,13.0,0,0
HYN-1981-029,P32,1981,650460.4197,3876325.946,270.7251511,278.9,8.174848899999972,290.0,20,Shrubland,29.6,38.2,32.1,Loamy,,0.0,,0.0,,0.0,,11.100000000000023,0,0
HYN-1981-030,P33,1981,650497.9399,3877380.146,260.1295195,268.03,7.900480499999958,279.0,40,Cropland,28.7,37.1,34.1,Loamy,,0.0,,0.0,,0.0,,10.970000000000027,1,0
HYN-2012-001,P60,2012,648350.9804,3867664.648,383.3961877,400.0,16.603812300000016,455.0,60,Bare/sparse vegetation,28.9,41.5,29.6,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,55.0,0,0
HYN-2012-002,P142,2012,650804.0616,3867794.155,418.7997216,411.1,-7.699721599999975,482.0,40,Cropland,28.2,37.8,34.0,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,70.89999999999998,1,1
HYN-2012-003,P61,2012,646605.1228,3867956.216,379.7208363,375.0,-4.720836299999974,418.0,40,Cropland,30.4,38.8,30.8,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,43.0,1,1
HYN-2012-004,P63,2012,647975.9519,3868213.685,366.5930513,379.0,12.406948699999989,427.0,40,Cropland,28.2,41.5,30.3,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,48.0,1,0
HYN-2012-005,P141,2012,650582.8165,3868284.236,406.443368,411.9,5.456631999999956,440.0,40,Cropland,27.9,40.5,31.6,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,28.100000000000023,1,0
