Well Name	X [m]	Y [m]	Screen ID	Screen Elev. [m]	Obs. Time [day]	HEAD [m]
P1	649202.841	3874618.653	1	298	365.25	308
P10	649717.8758	3875390.458	1	288	365.25	298
P11	649633.0457	3874723.768	1	297	365.25	307
P111	650405.3052	3870057.75	1	356.4688943	365.25	362.8
P112	650881.2748	3870725.085	1	330.154749	365.25	346
P113	650404.2562	3870630.609	1	337.7	365.25	342.7
P114	650403.811	3870626.909	1	338	365.25	343
P115	650402.1862	3871018.247	1	327.9772233	365.25	340
P116	650164.0536	3871128.66	1	327.2568769	365.25	338.7
P117	650063.4864	3870506.229	1	335.2468986	365.25	336.4
P118	649073.5702	3868463.771	1	383.6887387	365.25	409.2
P12	649138.7989	3874488.46	1	299	365.25	309
P122	648757.2757	3868529.083	1	379.8608589	365.25	399.3
P124	648801.2986	3868666.38	1	368.2282892	365.25	383.1
P125	649123.7435	3868957.416	1	364.2135359	365.25	390.9
P126	648977.4245	3868289.817	1	375.0416884	365.25	402.3
P128	648940.0961	3868738.159	1	367.3392449	365.25	396
P129	650321.7207	3868247.151	1	401.7388133	365.25	426.7
P130	650198.0838	3868291.121	1	404.4905568	365.25	426.3
P132	647207.4442	3870087.445	1	335.891391	365.25	352.6
P133	647480.8072	3870108.548	1	337.4509728	365.25	353.8
P134	650489.7559	3869731.669	1	356.8821642	365.25	370.6
P135	650461.6666	3870041.183	1	356.8	365.25	361.8
P136	650979.3432	3869664.27	1	364.7	365.25	369.7
P137	650801.4297	3869682.361	1	364.5484427	365.25	372.5
P138	650722.5417	3869510.239	1	363.8421685	365.25	375.7
P139	651197.1823	3868959.681	1	449.7709557	365.25	391.2
P140	650967.5764	3868289.644	1	402.5378268	365.25	395.3
P141	650598.4135	3868500.938	1	406.443368	365.25	411.9
P142	650819.0262	3868010.572	1	418.7997216	365.25	411.1
P143	650808.0414	3869068.619	1	382.6292784	365.25	392.6
P144	650798.031	3869231.766	1	373.4703351	365.25	384.8
P145	648988.7671	3871605.854	1	315.5430248	365.25	334.35
P146	650020.8067	3873839.517	1	298.1	365.25	303.1
P147	649961.7203	3873782.381	1	299	365.25	304
P148	650287.3806	3874464.602	1	290.3633953	365.25	292.5
P149	650107.7485	3874698.7	1	288.2139597	365.25	293.7
P15	648774.615	3872584.119	1	322	365.25	332
P150	649934.9855	3874545.857	1	292.293418	365.25	294.6
P151	649920.8467	3874513.869	1	293.1	365.25	298.1
P152	649436.0259	3874025.763	1	297.3	365.25	302.3
P153	649377.5761	3873932.588	1	295.8028911	365.25	304.3
P154	649513.9334	3874523.914	1	292.8443957	365.25	300
P155	650026.9862	3875033.776	1	278.9269174	365.25	293.2
P156	650434.8182	3875792.183	1	275.6751567	365.25	284
P157	650229.1248	3877802.569	1	255.5285134	365.25	266
P158	649794.4906	3874789.896	1	288.4863837	365.25	297.1
P159	649710.677	3874668.538	1	288.4863837	365.25	297.7
P160	649360.0114	3874695.916	1	293.018415	365.25	299.4
P161	649318.7256	3871235.099	1	317.9010531	365.25	335.9
P17	649080.2966	3873908.714	1	308	365.25	318
P18	648889.2135	3874484.718	1	306	365.25	316
P19	649361.7475	3874985.828	1	294	365.25	304
P2	649070.9548	3874662.133	1	299	365.25	309
P20	649313.6588	3875147.566	1	292	365.25	302
P21	649268.3116	3875362.408	1	293	365.25	303
P22	648300.3273	3870930.755	1	331	365.25	341
P3	649158.8378	3874900.136	1	296	365.25	306
P4	649372.9632	3874950.382	1	294	365.25	304
P5	649274.7104	3875115.286	1	293	365.25	303
P59	648149.09	3868101.96	1	372.8026667	365.25	390
P6	649241.5725	3875377.253	1	292	365.25	302
P60	648365.78	3867884.23	1	372.8026667	365.25	400
P61	646620.3	3868178.05	1	371.7551228	365.25	375
P62	647926.37	3868598.49	1	360.9900071	365.25	377
P63	647991.46	3868433.75	1	366.5930513	365.25	379
P65	648153.89	3868243.79	1	366.2948714	365.25	380
P66	648179.73	3868215.55	1	365.9594676	365.25	390
P69	648315.74	3868349.43	1	366.2948714	365.25	390
P7	649273.6057	3875777.925	1	298	365.25	308
P70	647653.67	3867749.15	1	377.7311356	365.25	390
P71	647618.36	3867810.94	1	371.3590247	365.25	387
P73	648482.17	3868357.59	1	369.7275016	365.25	388
P74	649321.51	3868468.97	1	382.5181419	365.25	400
P75	649084.8239	3869639.306	1	355.0829988	365.25	373.1
P76	649010.9102	3869975.441	1	340.9873937	365.25	365.1
P77	649084.5138	3869786.606	1	346.6324693	365.25	372
P78	648365.1666	3870644.509	1	327.7921952	365.25	334
P79	648150.2804	3870486.352	1	327.3664477	365.25	334.4
P8	650435.9599	3876209.525	1	275	365.25	285
P80	647960.3037	3870716.307	1	329.4	365.25	334.4
P81	648538.4319	3872260.794	1	318.3522193	365.25	323.9
P82	648747.2014	3872129.493	1	315.6502536	365.25	323.8
P83	648537.4272	3871682.962	1	317.8487081	365.25	329.4
P84	649263.838	3867775.616	1	404.8862826	365.25	431.2
P87	649020.5453	3868203.982	1	384.101729	365.25	409.5
P88	649566.2141	3867623.786	1	422.1099529	365.25	436.5
P89	649569.3019	3868051.88	1	403.7578577	365.25	431
P9	650627.6476	3876606.772	1	271	365.25	281
P92	647680.93	3868540.28	1	367.0577476	365.25	371
P93	647445.36	3868059.45	1	372.0085342	365.25	380
P94	647644.697	3872954.394	1	311.1769429	365.25	315.5
P96	646870.0964	3868821.899	1	368.268024	365.25	380.1
P97	646663.3862	3868527.342	1	373.1424047	365.25	382.8
P98	649711.0035	3867988.743	1	409.7920873	365.25	431.5
