Well Name	X [m]	Y [m]	Screen ID	Screen Elev. [m]	Obs. Time [day]	HEAD [m]
P10	649693.3926	3875172.614	1	283.5828304	365.25	298
P112	650862.8086	3870508.746	1	338.1510087	365.25	346
P115	650383.3423	3870801.289	1	337.2941076	365.25	358
P116	650145.0674	3870911.395	1	327.2568769	365.25	349
P117	650045.3032	3870288.835	1	348.7118009	365.25	366.9
P133	647463.1391	3869887.823	1	345.457799	365.25	353.8
P141	650582.8165	3868284.236	1	406.443368	365.25	411.9
P142	650804.0616	3867794.155	1	418.7997216	365.25	411.1
P145	648969.1664	3871387.073	1	319.6421973	365.25	334.35
P146	649998.3239	3873622.065	1	298.1	365.25	303.1
P148	650264.0912	3874247.493	1	290.3633953	365.25	292.5
P149	650084.1573	3874481.359	1	293.1192088	365.25	293.7
P15	648753.7526	3872365.061	1	311.1917815	365.25	322
P151	649897.4941	3874296.288	1	293.1	365.25	298.1
P155	650002.9628	3874816.331	1	286.5531448	365.25	293.2
P156	650409.8162	3875575.263	1	281.5792523	365.25	284
P157	650201.5297	3877585.382	1	259.5293686	365.25	266
P161	649299.6028	3871016.744	1	320.740467	365.25	335.9
P17	649057.7253	3873690.049	1	301.9212057	365.25	316
P18	648865.8993	3874265.806	1	296.8395433	365.25	310
P22	648281.598	3870711.086	1	331	365.25	344
P3	649134.9876	3874681.571	1	296	365.25	306
P5	649250.5825	3874896.871	1	293	365.25	303
P6	649217.1067	3875158.795	1	292.7444806	365.25	302
P60	648350.9804	3867664.648	1	383.3961877	365.25	400
P61	646605.1228	3867956.216	1	379.7208363	365.25	375
P62	647910.6494	3868378.341	1	367.620926	365.25	377
P63	647975.9519	3868213.685	1	366.5930513	365.25	379
P7	649248.6231	3875559.508	1	291.1002873	365.25	300
P75	649067.7598	3869420.65	1	355.0829988	365.25	370.1
P76	648993.4126	3869756.69	1	340.9873937	365.25	366.1
P77	649067.2597	3869567.95	1	355.0829988	365.25	372
P78	648346.8064	3870424.924	1	330.4040609	365.25	334
P79	648132.1244	3870266.49	1	330.1857376	365.25	334.4
P8	650410.4196	3875992.607	1	275	365.25	285
P80	647941.8513	3870496.2	1	329.4	365.25	347.4
P81	648517.9867	3872041.431	1	318.3522193	365.25	327.9
P82	648726.9254	3871910.4	1	317.1220299	365.25	323.8
P83	648517.7274	3871463.598	1	320.7592182	365.25	329.4
P9	650601.5947	3876390.1	1	272.0288445	365.25	281
P94	647623.3579	3872733.878	1	311.1769429	365.25	320.5
