Layer 2
X	Y	Z	Ss	Sy	PorEff.	PorTot.	
649192.406	3880852.63	185.710007	0.3	0.3	0.34	0.38	
649496.469	3880852.63	150.160004	0.3	0.3	0.34	0.38	
649800.5	3880852.63	139.639999	0.3	0.3	0.34	0.38	
650104.531	3880852.63	134.820004	0.3	0.3	0.34	0.38	
650408.594	3880852.63	138.350002	0.3	0.3	0.34	0.38	
650712.625	3880852.63	148.73	0.3	0.3	0.34	0.38	
651016.656	3880852.63	128.399998	0.3	0.3	0.34	0.38	
651320.719	3880852.63	89.4015007	0.3	0.3	0.34	0.38	
651624.75	3880852.63	40.0859995	0.3	0.3	0.34	0.38	
651928.875	3880852.63	-27.4359504	0.299553631	0.299553631	0.339285543	0.37978815	
646152.031	3880474	201.429993	0.3	0.3	0.34	0.38	
646456.063	3880474	214.059998	0.3	0.3	0.34	0.38	
646760.094	3880474	208.619995	0.28892761	0.28892761	0.322160706	0.376309148	
647064.156	3880474	202.910004	0.225604454	0.225604454	0.220140805	0.355201649	
647368.188	3880474	205.179993	0.299318817	0.299318817	0.33890257	0.379772746	
647672.219	3880474	194.270004	0.3	0.3	0.34	0.38	
647976.25	3880474	194.259995	0.3	0.3	0.34	0.38	
648280.281	3880474	196.210007	0.3	0.3	0.34	0.38	
648584.344	3880474	199.910004	0.3	0.3	0.34	0.38	
648888.375	3880474	203.130005	0.3	0.3	0.34	0.38	
649192.406	3880474	206.050003	0.3	0.3	0.34	0.38	
649496.469	3880474	207.320007	0.3	0.3	0.34	0.38	
649800.5	3880474	182.119995	0.3	0.3	0.34	0.38	
650104.531	3880474	152.130001	0.3	0.3	0.34	0.38	
650408.594	3880474	140.919998	0.3	0.3	0.34	0.38	
650712.625	3880474	141.740002	0.3	0.3	0.34	0.38	
651016.656	3880474	149.220001	0.3	0.3	0.34	0.38	
651320.719	3880474	118.231998	0.3	0.3	0.34	0.38	
651624.75	3880474	78.5584984	0.3	0.3	0.34	0.38	
651928.875	3880474	8.44499969	0.299557453	0.299557453	0.339291277	0.379789565	
646152.031	3880095.5	211.479996	0.3	0.3	0.34	0.38	
646456.063	3880095.5	227.309998	0.3	0.3	0.34	0.38	
646760.094	3880095.5	217.630005	0.298893852	0.298893852	0.338217785	0.379631234	
647064.156	3880095.5	215.669998	0.293846851	0.293846851	0.330086638	0.377948959	
647368.188	3880095.5	217.149994	0.299803323	0.299803323	0.339683141	0.379934385	
647672.219	3880095.5	213.740005	0.3	0.3	0.34	0.38	
647976.25	3880095.5	202.100006	0.3	0.3	0.34	0.38	
648280.281	3880095.5	202.910004	0.3	0.3	0.34	0.38	
648584.344	3880095.5	204.110001	0.3	0.3	0.34	0.38	
648888.375	3880095.5	206.139999	0.3	0.3	0.34	0.38	
649192.406	3880095.5	207.860001	0.3	0.3	0.34	0.38	
649496.469	3880095.5	210.059998	0.3	0.3	0.34	0.38	
649800.5	3880095.5	205.360001	0.3	0.3	0.34	0.38	
650104.531	3880095.5	171.979996	0.3	0.3	0.34	0.38	
650408.594	3880095.5	156.389999	0.3	0.3	0.34	0.38	
650712.625	3880095.5	149.809998	0.3	0.3	0.34	0.38	
651016.656	3880095.5	151.210003	0.3	0.3	0.34	0.38	
651320.719	3880095.5	144.869999	0.3	0.3	0.34	0.38	
651624.75	3880095.5	114.040997	0.3	0.3	0.34	0.38	
651928.875	3880095.5	42.0530005	0.299561275	0.299561275	0.33929765	0.379791476	
646152.031	3879717	218.960007	0.3	0.3	0.34	0.38	
646456.063	3879717	242.059998	0.3	0.3	0.34	0.38	
