Layer 2
X	Y	Z	Kx	Ky	Kz	
650712.625	3878581.25	224.529999	1E-11	1E-11	1E-11	
651016.656	3878581.25	221.779999	1E-11	1E-11	1E-11	
651320.719	3878581.25	171.449997	1E-11	1E-11	1E-11	
651624.75	3878581.25	168.979996	1E-11	1E-11	1E-11	
651928.875	3878581.25	151.190002	1E-11	1E-11	1E-11	
646152.031	3878202.75	251.899994	1E-11	1E-11	1E-11	
646456.063	3878202.75	261.450005	1E-11	1E-11	1E-11	
646760.094	3878202.75	265.109993	1E-11	1E-11	1E-11	
647064.156	3878202.75	261.600006	1E-11	1E-11	1E-11	
647368.188	3878202.75	265.109993	1E-11	1E-11	1E-11	
647672.219	3878202.75	257.690002	1E-11	1E-11	1E-11	
647976.25	3878202.75	246.899994	1E-11	1E-11	1E-11	
648280.281	3878202.75	243.559998	1E-11	1E-11	1E-11	
648584.344	3878202.75	247.480003	1E-11	1E-11	1E-11	
648888.375	3878202.75	244.760002	1E-11	1E-11	1E-11	
649192.406	3878202.75	245.230003	1E-11	1E-11	1E-11	
649496.469	3878202.75	240.899994	1E-11	1E-11	1E-11	
649800.5	3878202.75	230.649994	1E-11	1E-11	1E-11	
650104.531	3878202.75	228.240005	1E-11	1E-11	1E-11	
650408.594	3878202.75	227.830002	1E-11	1E-11	1E-11	
650712.625	3878202.75	228.850006	1E-11	1E-11	1E-11	
651016.656	3878202.75	212.669998	1E-11	1E-11	1E-11	
651320.719	3878202.75	179.679993	1E-11	1E-11	1E-11	
651624.75	3878202.75	163.509995	1E-11	1E-11	1E-11	
651928.875	3878202.75	170.399994	1E-11	1E-11	1E-11	
646152.031	3877824.25	250.910004	1E-11	1E-11	1E-11	
646456.063	3877824.25	251.670006	1E-11	1E-11	1E-11	
646760.094	3877824.25	255.75	1E-11	1E-11	1E-11	
647064.156	3877824.25	261.489998	1E-11	1E-11	1E-11	
647368.188	3877824.25	263.440002	1E-11	1E-11	1E-11	
647672.219	3877824.25	256.549995	1E-11	1E-11	1E-11	
647976.25	3877824.25	254.5	1E-11	1E-11	1E-11	
648280.281	3877824.25	251.910004	1E-11	1E-11	1E-11	
648584.344	3877824.25	249.980003	1E-11	1E-11	1E-11	
648888.375	3877824.25	249.230003	1E-11	1E-11	1E-11	
649192.406	3877824.25	246.910004	1E-11	1E-11	1E-11	
649496.469	3877824.25	244.519997	1E-11	1E-11	1E-11	
649800.5	3877824.25	235.229996	1E-11	1E-11	1E-11	
650104.531	3877824.25	232.199997	1E-11	1E-11	1E-11	
650408.594	3877824.25	231.259995	1E-11	1E-11	1E-11	
650712.625	3877824.25	231.970001	1E-11	1E-11	1E-11	
651016.656	3877824.25	224.949997	1E-11	1E-11	1E-11	
651320.719	3877824.25	202.279999	1E-11	1E-11	1E-11	
651624.75	3877824.25	173.490005	1E-11	1E-11	1E-11	
651928.875	3877824.25	171.110001	1E-11	1E-11	1E-11	
646152.031	3877445.75	245.899994	1E-11	1E-11	1E-11	
646456.063	3877445.75	250.320007	1E-11	1E-11	1E-11	
646760.094	3877445.75	260.649994	1E-11	1E-11	1E-11	
647064.156	3877445.75	266.450005	1E-11	1E-11	1E-11	
647368.188	3877445.75	267.850006	1E-11	1E-11	1E-11	
647672.219	3877445.75	265.290001	1E-11	1E-11	1E-11	
